x, y, xFulc, yFulc 
225, 342, 278, 712
224, 342, 278, 712
224, 342, 278, 712
224, 342, 278, 712
224, 342, 278, 712
224, 342, 278, 712
224, 342, 278, 712
223, 342, 278, 712
224, 342, 278, 712
223, 342, 278, 712
223, 342, 278, 712
223, 342, 278, 712
222, 342, 278, 712
223, 342, 278, 712
223, 342, 278, 712
222, 342, 278, 712
222, 342, 278, 712
222, 343, 278, 712
222, 342, 278, 712
222, 342, 278, 712
221, 343, 278, 712
221, 343, 278, 712
221, 342, 278, 712
221, 343, 278, 712
221, 343, 278, 712
221, 343, 278, 712
220, 343, 278, 712
220, 343, 278, 712
220, 343, 278, 712
220, 343, 278, 712
220, 343, 278, 712
219, 343, 278, 712
219, 343, 278, 712
219, 343, 278, 712
218, 343, 278, 712
218, 344, 278, 712
218, 343, 278, 712
218, 343, 278, 712
218, 344, 278, 712
217, 343, 278, 712
217, 344, 278, 712
217, 344, 278, 712
217, 344, 278, 712
216, 344, 278, 712
216, 344, 278, 712
216, 344, 278, 712
216, 344, 278, 712
216, 344, 278, 712
215, 344, 278, 712
215, 344, 278, 712
215, 344, 278, 712
215, 344, 278, 712
215, 344, 278, 712
215, 344, 278, 712
215, 344, 278, 712
214, 344, 278, 712
214, 344, 278, 712
214, 344, 278, 712
213, 344, 278, 712
213, 345, 278, 712
213, 345, 278, 712
213, 344, 278, 712
213, 345, 278, 712
212, 344, 278, 712
212, 345, 278, 712
212, 344, 278, 712
211, 345, 278, 712
211, 345, 278, 712
211, 344, 277, 712
211, 345, 278, 712
211, 345, 278, 712
210, 345, 278, 712
210, 345, 278, 712
210, 345, 278, 712
209, 345, 278, 712
209, 345, 278, 712
209, 345, 278, 712
209, 345, 278, 712
209, 345, 278, 712
209, 345, 278, 712
208, 346, 278, 712
208, 345, 278, 712
208, 345, 278, 712
208, 345, 278, 712
208, 345, 278, 712
207, 346, 278, 712
207, 346, 278, 712
207, 346, 278, 712
207, 346, 278, 712
207, 346, 278, 712
206, 346, 278, 712
206, 346, 278, 712
206, 346, 278, 712
206, 346, 278, 712
206, 346, 278, 712
206, 346, 278, 712
205, 346, 278, 712
205, 346, 278, 712
205, 346, 278, 712
205, 346, 278, 712
205, 346, 278, 712
205, 346, 278, 712
204, 346, 278, 712
204, 346, 278, 712
204, 347, 278, 712
204, 347, 278, 712
204, 347, 278, 712
203, 347, 278, 712
203, 347, 278, 712
203, 347, 278, 712
203, 347, 278, 712
203, 347, 278, 712
202, 347, 278, 712
202, 347, 278, 712
202, 347, 278, 712
201, 347, 278, 712
202, 347, 278, 712
201, 348, 278, 712
201, 347, 278, 712
201, 347, 278, 712
200, 348, 278, 712
200, 347, 278, 712
200, 348, 278, 712
200, 348, 278, 712
199, 348, 278, 712
199, 348, 278, 712
199, 348, 278, 712
199, 348, 278, 712
199, 348, 278, 712
198, 348, 278, 712
198, 349, 278, 712
198, 348, 278, 712
197, 348, 278, 712
197, 349, 278, 712
197, 348, 278, 712
197, 349, 278, 712
197, 349, 278, 712
197, 349, 278, 712
197, 348, 278, 712
196, 349, 278, 712
196, 349, 278, 712
196, 349, 278, 712
195, 350, 278, 712
195, 350, 278, 712
195, 349, 278, 712
195, 349, 278, 712
195, 349, 278, 712
194, 349, 278, 712
195, 349, 278, 712
194, 349, 278, 712
194, 349, 278, 712
194, 349, 278, 712
194, 349, 278, 712
194, 350, 278, 712
193, 349, 278, 712
193, 349, 278, 712
193, 349, 278, 712
193, 349, 278, 712
193, 349, 278, 712
193, 350, 278, 712
193, 350, 278, 712
193, 350, 278, 712
192, 350, 278, 712
192, 350, 278, 712
192, 350, 278, 712
191, 350, 278, 712
191, 350, 278, 712
191, 350, 278, 712
191, 350, 278, 712
190, 350, 278, 712
190, 351, 278, 712
190, 350, 278, 712
190, 351, 278, 712
190, 350, 278, 712
189, 351, 278, 712
189, 351, 278, 712
189, 350, 278, 712
189, 351, 278, 712
189, 351, 278, 712
188, 351, 278, 712
188, 351, 278, 712
188, 351, 278, 712
188, 351, 278, 712
188, 351, 278, 712
188, 351, 278, 712
187, 351, 278, 712
187, 351, 278, 712
187, 351, 278, 712
187, 351, 278, 712
186, 352, 278, 712
186, 351, 278, 712
186, 353, 278, 712
